Akun,Tweet,Lokasi
https://twitter.com/EkoWitono9,"Wkwkwk, Analis Politik Amatiran @Tita83079013 plin-plan bcr. Msh ingat bgmn dulu mengebu"" dukung @ganjarpranowo, eh skrg sebut sbg pengkhianat. Emang elu siapa? Bs makan dr jualan berita bohong aja, msh syukur. Lha, koq gigit tangan pemberi cuan? Waras otak kardus elu, dab?! https://t.co/u6aUFtTC1n",
https://twitter.com/CahayaTohi64445,@DinkesKabKlaten @dinsosjateng @EDanardono @ganjarpranowo @YaniSunarno @dinkesjateng Salamualaikum,
https://twitter.com/FardiantoDewi,@ganjarpranowo Gombal,
https://twitter.com/mediaindonesia,Trisakti GanTer meyakini bahwa Ganjar Pranowo ialah sosok tepat untuk melanjutkan perubahan.  https://t.co/hQXXnxhi90,
https://twitter.com/tok4687730,@ganjarpranowo @jokowi sehat selalu pak Ganjar n pak Jokowi,
https://twitter.com/JoeWongJaVa,@AirinDatangLagi @ganjarpranowo Lah Lembaga survey milik @yunartowijaya Ahoker ya pastinya sudah ketebak arahnya kemana.... https://t.co/rieXiuZApv,
https://twitter.com/Candras72713474,@dpubmckjateng @ganjarpranowo https://t.co/9gcmaIgjTO,
https://twitter.com/Jokond0,"@MARQUEZ__93 @putri_Aalona @ganjarpranowo Dilihat dari narasinya sih tampak bgt. 
Relawan NKRI ga ada tu yg kek gitu?",
https://twitter.com/Candras72713474,"@dpubmckjateng @ganjarpranowo Bosen saya komplain jalan rusak parah jepara- bangsri - kelet - pati. Gak di perbaik baiki, nggak digubris. Nunggu viral dulu baru diperbaiki. Pak @ganjarpranowo @LaporGub_ @dpubmckjateng  coba di diskusin serius, jangan karena kmi dipojok, nggak dilewatin pantura, JDI DIBIARIN",
https://twitter.com/ImanZebua029,@ganjarpranowo Bapak kok gk bls chat q di instagram🥲,
https://twitter.com/Benlizp,@Julian303 @03__nakula @ganjarpranowo Nongol pendukung WNI turunan Yaman.😃,
https://twitter.com/putri_Aalona,@Darkie72006006 @ganjarpranowo @ekowboy2 Jgn jgn akun si @Mdy_Asmara1701 🤣,
https://twitter.com/terkinidotid,"Jalin Silaturahmi, Gerakan Pemuda dan Perempuan Gowa Gelar Doa Serta Bukber Bersama: Pendukung Ganjar Pranowo terus bermunculan di beberapa daerah di Indonesia. https://t.co/aSWtAjiM4K #Gowa #silaturahmi #pemuda #perempuan #gowa",
https://twitter.com/Sherin_Tiara,"Pastinya Para Relawan Ganjar akan tetap setia Dukung Pak Ganjar Pranowo
Pemimpin yg akan meneruskan estafet kepemimpinan Presiden Jokowi yg memiliki visi dan misi yg sama menuju Indonesia Emas ❤️🇮🇩
#GanjarPranowo https://t.co/Exg6nh1GOm",
https://twitter.com/Raka_7804,@Tita83079013 @jokowi @ganjarpranowo kalo gue... nunggu telunjuk jkw ke siapa https://t.co/NO4kZ5t3T3,
https://twitter.com/eddy_widodo_165,@Jelli_cent @ganjarpranowo Selamat merayakan paskah  mbak @Jelli_cent semoga Tuhan memberkati berkah dalem mbak. 🙏🤍,
https://twitter.com/pak_starx,"Kepada seluruh saudaraku yang merayakan Paskah, semoga momen ini bisa jadi dorongan spirit untuk meneladani makna Paskah lebih dalam. Salam damai dan bahagia untuk panjenengan semua...

#GanjarPranowo https://t.co/Ks9k7A9BR0",
https://twitter.com/KakekHalal,@ganjarpranowo Amin. Terima kasih Pak Ganjar 🙏🙏🙏,
